flight_date,distance_category,avg_arrival_delay,avg_departure_delay
2021-04-29,5,-12.28,2.02
2021-04-26,5,7.38,16.38
2021-04-27,5,-0.77,5.51
2021-04-28,5,-4.92,5.52
